Observation,Data_Marking,ValueDomain,Obs_Type,Obs_Type_Value,Unit_of_Measure_Eng,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2,Dimension_3,Dimension_Value_3
206,,Count,,,,E06000014,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
114,,Count,,,,E06000014,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
92,,Count,,,,E06000014,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
272,,Count,,,,E06000014,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
206,,Count,,,,E06000014,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
66,,Count,,,,E06000014,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
255,,Count,,,,E06000014,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
235,,Count,,,,E06000014,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
20,,Count,,,,E06000014,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
42,,Count,,,,E06000014,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
42,,Count,,,,E06000014,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E06000014,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
70,,Count,,,,E06000014,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
49,,Count,,,,E06000014,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
21,,Count,,,,E06000014,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
23,,Count,,,,E06000014,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
14,,Count,,,,E06000014,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
9,,Count,,,,E06000014,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
33,,Count,,,,E06000014,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
22,,Count,,,,E06000014,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
11,,Count,,,,E06000014,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
13,,Count,,,,E06000014,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
12,,Count,,,,E06000014,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
1,,Count,,,,E06000014,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
1,,Count,,,,E06000014,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
1,,Count,,,,E06000014,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E06000014,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
1677,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
886,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
791,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
509,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
91,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
418,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
656,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
352,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
304,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
433,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
372,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
61,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
79,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
71,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
8,,Count,,,,E07000164,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
1511,,Count,,,,E07000164,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
793,,Count,,,,E07000164,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
718,,Count,,,,E07000164,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
469,,Count,,,,E07000164,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
80,,Count,,,,E07000164,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
389,,Count,,,,E07000164,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
573,,Count,,,,E07000164,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
305,,Count,,,,E07000164,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
268,,Count,,,,E07000164,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
399,,Count,,,,E07000164,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
344,,Count,,,,E07000164,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
55,,Count,,,,E07000164,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
70,,Count,,,,E07000164,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
64,,Count,,,,E07000164,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
6,,Count,,,,E07000164,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
166,,Count,,,,E07000164,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
93,,Count,,,,E07000164,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
73,,Count,,,,E07000164,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
40,,Count,,,,E07000164,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
11,,Count,,,,E07000164,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
29,,Count,,,,E07000164,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
83,,Count,,,,E07000164,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
47,,Count,,,,E07000164,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
36,,Count,,,,E07000164,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
34,,Count,,,,E07000164,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
28,,Count,,,,E07000164,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
6,,Count,,,,E07000164,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
9,,Count,,,,E07000164,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
7,,Count,,,,E07000164,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
2,,Count,,,,E07000164,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
2046,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
1467,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
579,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
463,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
171,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
292,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
837,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
603,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
234,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
597,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
544,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
53,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
149,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
149,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000165,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
1754,,Count,,,,E07000165,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
1209,,Count,,,,E07000165,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
545,,Count,,,,E07000165,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
411,,Count,,,,E07000165,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
137,,Count,,,,E07000165,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
274,,Count,,,,E07000165,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
715,,Count,,,,E07000165,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
494,,Count,,,,E07000165,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
221,,Count,,,,E07000165,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
511,,Count,,,,E07000165,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
461,,Count,,,,E07000165,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
50,,Count,,,,E07000165,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
117,,Count,,,,E07000165,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
117,,Count,,,,E07000165,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000165,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
292,,Count,,,,E07000165,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
258,,Count,,,,E07000165,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
34,,Count,,,,E07000165,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
52,,Count,,,,E07000165,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
34,,Count,,,,E07000165,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
18,,Count,,,,E07000165,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
122,,Count,,,,E07000165,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
109,,Count,,,,E07000165,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
13,,Count,,,,E07000165,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
86,,Count,,,,E07000165,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
83,,Count,,,,E07000165,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
3,,Count,,,,E07000165,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
32,,Count,,,,E07000165,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
32,,Count,,,,E07000165,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000165,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
5035,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
1744,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
3291,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2549,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
243,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
2306,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1636,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
769,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
867,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
768,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
656,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
112,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
82,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
76,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
6,,Count,,,,E07000166,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
4838,,Count,,,,E07000166,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
1631,,Count,,,,E07000166,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
3207,,Count,,,,E07000166,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
2486,,Count,,,,E07000166,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
225,,Count,,,,E07000166,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
2261,,Count,,,,E07000166,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
1540,,Count,,,,E07000166,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
707,,Count,,,,E07000166,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
833,,Count,,,,E07000166,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
733,,Count,,,,E07000166,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
625,,Count,,,,E07000166,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
108,,Count,,,,E07000166,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
79,,Count,,,,E07000166,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
74,,Count,,,,E07000166,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
5,,Count,,,,E07000166,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
197,,Count,,,,E07000166,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
113,,Count,,,,E07000166,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
84,,Count,,,,E07000166,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
63,,Count,,,,E07000166,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
18,,Count,,,,E07000166,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
45,,Count,,,,E07000166,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
96,,Count,,,,E07000166,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
62,,Count,,,,E07000166,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
34,,Count,,,,E07000166,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
35,,Count,,,,E07000166,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
31,,Count,,,,E07000166,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
4,,Count,,,,E07000166,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
3,,Count,,,,E07000166,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
2,,Count,,,,E07000166,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
1,,Count,,,,E07000166,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
226,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
224,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
2,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
94,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
93,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
75,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
74,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
51,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
51,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
6,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
6,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
207,,Count,,,,E07000168,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
206,,Count,,,,E07000168,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
85,,Count,,,,E07000168,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
85,,Count,,,,E07000168,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
67,,Count,,,,E07000168,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
66,,Count,,,,E07000168,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
49,,Count,,,,E07000168,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
49,,Count,,,,E07000168,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
6,,Count,,,,E07000168,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
6,,Count,,,,E07000168,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
19,,Count,,,,E07000168,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
18,,Count,,,,E07000168,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
9,,Count,,,,E07000168,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
8,,Count,,,,E07000168,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
1,,Count,,,,E07000168,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
8,,Count,,,,E07000168,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
8,,Count,,,,E07000168,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
2,,Count,,,,E07000168,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
2,,Count,,,,E07000168,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
0,,Count,,,,E07000168,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
0,,Count,,,,E07000168,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000168,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
164,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
164,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
63,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
63,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
57,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
57,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
34,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,All categories: Residence Type
34,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
10,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,All categories: Residence Type
10,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,All categories: Sex,Age,Age 50 and over,Residence Type,Lives in a communal establishment
149,,Count,,,,E07000169,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
149,,Count,,,,E07000169,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Males,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
56,,Count,,,,E07000169,,,,Sex,Males,Age,Age 16 to 24,Residence Type,All categories: Residence Type
56,,Count,,,,E07000169,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Males,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
54,,Count,,,,E07000169,,,,Sex,Males,Age,Age 25 to 34,Residence Type,All categories: Residence Type
54,,Count,,,,E07000169,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Males,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
29,,Count,,,,E07000169,,,,Sex,Males,Age,Age 35 to 49,Residence Type,All categories: Residence Type
29,,Count,,,,E07000169,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Males,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
10,,Count,,,,E07000169,,,,Sex,Males,Age,Age 50 and over,Residence Type,All categories: Residence Type
10,,Count,,,,E07000169,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Males,Age,Age 50 and over,Residence Type,Lives in a communal establishment
15,,Count,,,,E07000169,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
15,,Count,,,,E07000169,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Females,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
7,,Count,,,,E07000169,,,,Sex,Females,Age,Age 16 to 24,Residence Type,All categories: Residence Type
7,,Count,,,,E07000169,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
3,,Count,,,,E07000169,,,,Sex,Females,Age,Age 25 to 34,Residence Type,All categories: Residence Type
3,,Count,,,,E07000169,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 25 to 34,Residence Type,Lives in a communal establishment
5,,Count,,,,E07000169,,,,Sex,Females,Age,Age 35 to 49,Residence Type,All categories: Residence Type
5,,Count,,,,E07000169,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 35 to 49,Residence Type,Lives in a communal establishment
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 50 and over,Residence Type,All categories: Residence Type
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a household
0,,Count,,,,E07000169,,,,Sex,Females,Age,Age 50 and over,Residence Type,Lives in a communal establishment
323,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,All categories: Residence Type
323,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a household
0,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,All categories: Age 16 and over,Residence Type,Lives in a communal establishment
158,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,All categories: Residence Type
158,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a household
0,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,Age 16 to 24,Residence Type,Lives in a communal establishment
95,,Count,,,,E08000016,,,,Sex,All categories: Sex,Age,Age 25 to 34,Residence Type,All categories: Residence Type
